time,Solar_production_MW,percentage
2018-09-01 00:00:00+0200,0,0.0
2018-09-01 01:00:00+0200,0,0.0
2018-09-01 02:00:00+0200,0,0.0
2018-09-01 03:00:00+0200,0,0.0
2018-09-01 04:00:00+0200,0,0.0
2018-09-01 05:00:00+0200,0,0.0
2018-09-01 06:00:00+0200,0,0.0
2018-09-01 07:00:00+0200,56,1.84
2018-09-01 08:00:00+0200,385,12.66
2018-09-01 09:00:00+0200,921,30.28
2018-09-01 10:00:00+0200,1468,48.24
2018-09-01 11:00:00+0200,1896,62.28
2018-09-01 12:00:00+0200,2057,67.55
2018-09-01 13:00:00+0200,1970,64.7
2018-09-01 14:00:00+0200,1917,62.95
2018-09-01 15:00:00+0200,1811,59.48
2018-09-01 16:00:00+0200,1480,48.6
2018-09-01 17:00:00+0200,1173,38.54
2018-09-01 18:00:00+0200,753,24.73
2018-09-01 19:00:00+0200,318,10.45
2018-09-01 20:00:00+0200,16,0.55
2018-09-01 21:00:00+0200,0,0.0
2018-09-01 22:00:00+0200,0,0.0
2018-09-01 23:00:00+0200,0,0.0
2018-09-02 00:00:00+0200,0,0.0
2018-09-02 01:00:00+0200,0,0.0
2018-09-02 02:00:00+0200,0,0.0
2018-09-02 03:00:00+0200,0,0.0
2018-09-02 04:00:00+0200,0,0.0
2018-09-02 05:00:00+0200,0,0.0
2018-09-02 06:00:00+0200,0,0.0
2018-09-02 07:00:00+0200,51,1.69
2018-09-02 08:00:00+0200,379,12.45
2018-09-02 09:00:00+0200,883,28.97
2018-09-02 10:00:00+0200,1436,47.11
2018-09-02 11:00:00+0200,1843,60.45
2018-09-02 12:00:00+0200,2208,72.42
2018-09-02 13:00:00+0200,2212,72.55
2018-09-02 14:00:00+0200,1979,64.91
2018-09-02 15:00:00+0200,1912,62.72
2018-09-02 16:00:00+0200,1642,53.85
2018-09-02 17:00:00+0200,1290,42.32
2018-09-02 18:00:00+0200,797,26.16
2018-09-02 19:00:00+0200,298,9.78
2018-09-02 20:00:00+0200,17,0.57
2018-09-02 21:00:00+0200,0,0.0
2018-09-02 22:00:00+0200,0,0.0
2018-09-02 23:00:00+0200,0,0.0
2018-09-03 00:00:00+0200,0,0.0
2018-09-03 01:00:00+0200,0,0.0
2018-09-03 02:00:00+0200,0,0.0
2018-09-03 03:00:00+0200,0,0.0
2018-09-03 04:00:00+0200,0,0.0
2018-09-03 05:00:00+0200,0,0.0
2018-09-03 06:00:00+0200,0,0.0
2018-09-03 07:00:00+0200,16,0.55
2018-09-03 08:00:00+0200,134,4.41
2018-09-03 09:00:00+0200,331,10.85
2018-09-03 10:00:00+0200,537,17.6
2018-09-03 11:00:00+0200,706,23.13
2018-09-03 12:00:00+0200,957,31.35
2018-09-03 13:00:00+0200,946,31.0
2018-09-03 14:00:00+0200,1070,35.04
2018-09-03 15:00:00+0200,1255,41.1
2018-09-03 16:00:00+0200,1011,33.13
2018-09-03 17:00:00+0200,723,23.69
2018-09-03 18:00:00+0200,384,12.6
2018-09-03 19:00:00+0200,130,4.27
2018-09-03 20:00:00+0200,12,0.4
2018-09-03 21:00:00+0200,0,0.0
2018-09-03 22:00:00+0200,0,0.0
2018-09-03 23:00:00+0200,0,0.0
