time,Solar_production_MW,percentage
2018-08-01 00:00:00+0200,0,0.0
2018-08-01 01:00:00+0200,0,0.0
2018-08-01 02:00:00+0200,0,0.0
2018-08-01 03:00:00+0200,0,0.0
2018-08-01 04:00:00+0200,0,0.0
2018-08-01 05:00:00+0200,0,0.0
2018-08-01 06:00:00+0200,29,1.0
2018-08-01 07:00:00+0200,250,8.6
2018-08-01 08:00:00+0200,611,20.94
2018-08-01 09:00:00+0200,981,33.61
2018-08-01 10:00:00+0200,1415,48.49
2018-08-01 11:00:00+0200,1815,62.19
2018-08-01 12:00:00+0200,1992,68.23
2018-08-01 13:00:00+0200,2079,71.21
2018-08-01 14:00:00+0200,2047,70.1
2018-08-01 15:00:00+0200,1852,63.42
2018-08-01 16:00:00+0200,1760,60.26
2018-08-01 17:00:00+0200,1391,47.66
2018-08-01 18:00:00+0200,1043,35.71
2018-08-01 19:00:00+0200,633,21.67
2018-08-01 20:00:00+0200,242,8.3
2018-08-01 21:00:00+0200,16,0.58
2018-08-01 22:00:00+0200,0,0.0
2018-08-01 23:00:00+0200,0,0.0
2018-08-02 00:00:00+0200,0,0.0
2018-08-02 01:00:00+0200,0,0.0
2018-08-02 02:00:00+0200,0,0.0
2018-08-02 03:00:00+0200,0,0.0
2018-08-02 04:00:00+0200,0,0.0
2018-08-02 05:00:00+0200,0,0.0
2018-08-02 06:00:00+0200,24,0.85
2018-08-02 07:00:00+0200,215,7.37
2018-08-02 08:00:00+0200,594,20.34
2018-08-02 09:00:00+0200,1095,37.46
2018-08-02 10:00:00+0200,1583,54.17
2018-08-02 11:00:00+0200,1994,68.21
2018-08-02 12:00:00+0200,2294,78.45
2018-08-02 13:00:00+0200,2400,82.1
2018-08-02 14:00:00+0200,2346,80.25
2018-08-02 15:00:00+0200,2188,74.83
2018-08-02 16:00:00+0200,1982,67.77
2018-08-02 17:00:00+0200,1586,54.25
2018-08-02 18:00:00+0200,1127,38.53
2018-08-02 19:00:00+0200,646,22.12
2018-08-02 20:00:00+0200,236,8.09
2018-08-02 21:00:00+0200,17,0.59
2018-08-02 22:00:00+0200,0,0.0
2018-08-02 23:00:00+0200,0,0.0
2018-08-03 00:00:00+0200,0,0.0
2018-08-03 01:00:00+0200,0,0.0
2018-08-03 02:00:00+0200,0,0.0
2018-08-03 03:00:00+0200,0,0.0
2018-08-03 04:00:00+0200,0,0.0
2018-08-03 05:00:00+0200,0,0.0
2018-08-03 06:00:00+0200,22,0.75
2018-08-03 07:00:00+0200,228,7.81
2018-08-03 08:00:00+0200,634,21.66
2018-08-03 09:00:00+0200,1145,39.13
2018-08-03 10:00:00+0200,1622,55.41
2018-08-03 11:00:00+0200,2026,69.2
2018-08-03 12:00:00+0200,2295,78.4
2018-08-03 13:00:00+0200,2457,83.91
2018-08-03 14:00:00+0200,2450,83.69
2018-08-03 15:00:00+0200,2297,78.45
2018-08-03 16:00:00+0200,2002,68.38
2018-08-03 17:00:00+0200,1596,54.51
2018-08-03 18:00:00+0200,1144,39.08
2018-08-03 19:00:00+0200,653,22.31
2018-08-03 20:00:00+0200,233,7.96
2018-08-03 21:00:00+0200,9,0.32
2018-08-03 22:00:00+0200,0,0.0
2018-08-03 23:00:00+0200,0,0.0
2018-08-04 00:00:00+0200,0,0.0
2018-08-04 01:00:00+0200,0,0.0
2018-08-04 02:00:00+0200,0,0.0
2018-08-04 03:00:00+0200,0,0.0
2018-08-04 04:00:00+0200,0,0.0
2018-08-04 05:00:00+0200,0,0.0
2018-08-04 06:00:00+0200,12,0.41
2018-08-04 07:00:00+0200,187,6.39
2018-08-04 08:00:00+0200,579,19.77
2018-08-04 09:00:00+0200,1115,38.05
2018-08-04 10:00:00+0200,1586,54.12
2018-08-04 11:00:00+0200,1927,65.73
2018-08-04 12:00:00+0200,2141,73.03
2018-08-04 13:00:00+0200,2180,74.36
2018-08-04 14:00:00+0200,2189,74.66
2018-08-04 15:00:00+0200,1993,67.99
2018-08-04 16:00:00+0200,1386,47.26
2018-08-04 17:00:00+0200,1041,35.52
2018-08-04 18:00:00+0200,835,28.48
2018-08-04 19:00:00+0200,515,17.58
2018-08-04 20:00:00+0200,176,6.01
2018-08-04 21:00:00+0200,8,0.3
2018-08-04 22:00:00+0200,0,0.0
2018-08-04 23:00:00+0200,0,0.0
2018-08-05 00:00:00+0200,0,0.0
2018-08-05 01:00:00+0200,0,0.0
2018-08-05 02:00:00+0200,0,0.0
