time,Wind_production_MW,percentage
2020-12-01 00:00:00+0100,1620,46.17
2020-12-01 01:00:00+0100,1731,49.34
2020-12-01 02:00:00+0100,1518,43.28
2020-12-01 03:00:00+0100,1345,38.34
2020-12-01 04:00:00+0100,1312,37.4
2020-12-01 05:00:00+0100,1490,42.47
2020-12-01 06:00:00+0100,1688,48.11
2020-12-01 07:00:00+0100,2080,59.28
2020-12-01 08:00:00+0100,2360,67.26
2020-12-01 09:00:00+0100,2441,69.55
2020-12-01 10:00:00+0100,2515,71.67
2020-12-01 11:00:00+0100,2528,72.03
2020-12-01 12:00:00+0100,2538,72.32
2020-12-01 13:00:00+0100,2536,72.26
2020-12-01 14:00:00+0100,2522,71.87
2020-12-01 15:00:00+0100,2278,64.91
2020-12-01 16:00:00+0100,1850,52.7
2020-12-01 17:00:00+0100,1385,39.47
2020-12-01 18:00:00+0100,1121,31.95
2020-12-01 19:00:00+0100,898,25.59
2020-12-01 20:00:00+0100,693,19.75
2020-12-01 21:00:00+0100,543,15.47
2020-12-01 22:00:00+0100,371,10.57
2020-12-01 23:00:00+0100,234,6.67
2020-12-02 00:00:00+0100,236,6.73
2020-12-02 01:00:00+0100,219,6.24
2020-12-02 02:00:00+0100,117,3.35
2020-12-02 03:00:00+0100,89,2.54
2020-12-02 04:00:00+0100,54,1.55
2020-12-02 05:00:00+0100,41,1.19
2020-12-02 06:00:00+0100,36,1.04
2020-12-02 07:00:00+0100,27,0.79
2020-12-02 08:00:00+0100,28,0.81
2020-12-02 09:00:00+0100,25,0.74
2020-12-02 10:00:00+0100,27,0.77
2020-12-02 11:00:00+0100,8,0.24
2020-12-02 12:00:00+0100,3,0.1
2020-12-02 13:00:00+0100,2,0.08
2020-12-02 14:00:00+0100,15,0.44
2020-12-02 15:00:00+0100,60,1.73
2020-12-02 16:00:00+0100,108,3.1
2020-12-02 17:00:00+0100,128,3.66
2020-12-02 18:00:00+0100,195,5.57
2020-12-02 19:00:00+0100,248,7.09
2020-12-02 20:00:00+0100,330,9.4
2020-12-02 21:00:00+0100,427,12.16
2020-12-02 22:00:00+0100,612,17.44
2020-12-02 23:00:00+0100,767,21.85
2020-12-03 00:00:00+0100,933,26.57
2020-12-03 01:00:00+0100,1042,29.67
2020-12-03 02:00:00+0100,1223,34.83
2020-12-03 03:00:00+0100,1197,34.09
2020-12-03 04:00:00+0100,1339,38.15
2020-12-03 05:00:00+0100,1156,32.92
2020-12-03 06:00:00+0100,931,26.53
2020-12-03 07:00:00+0100,958,27.3
2020-12-03 08:00:00+0100,1108,31.56
2020-12-03 09:00:00+0100,1216,34.64
2020-12-03 10:00:00+0100,1212,34.52
2020-12-03 11:00:00+0100,1400,39.88
2020-12-03 12:00:00+0100,1747,49.74
2020-12-03 13:00:00+0100,1930,54.96
2020-12-03 14:00:00+0100,2045,58.22
2020-12-03 15:00:00+0100,1997,56.84
2020-12-03 16:00:00+0100,2072,59.0
2020-12-03 17:00:00+0100,2175,61.91
2020-12-03 18:00:00+0100,2379,67.73
2020-12-03 19:00:00+0100,2627,74.77
2020-12-03 20:00:00+0100,2815,80.13
