time,Wind_production_MW,percentage
2023-07-01 00:00:00+0200,2606,44.38
2023-07-01 01:00:00+0200,2867,48.82
2023-07-01 02:00:00+0200,3534,60.18
2023-07-01 03:00:00+0200,3963,67.48
2023-07-01 04:00:00+0200,4396,74.85
2023-07-01 05:00:00+0200,4768,81.2
2023-07-01 06:00:00+0200,4538,77.27
2023-07-01 07:00:00+0200,4324,73.63
2023-07-01 08:00:00+0200,4002,68.15
2023-07-01 09:00:00+0200,3935,67.01
2023-07-01 10:00:00+0200,3880,66.07
2023-07-01 11:00:00+0200,3673,62.54
2023-07-01 12:00:00+0200,3564,60.68
2023-07-01 13:00:00+0200,3471,59.1
2023-07-01 14:00:00+0200,3390,57.72
2023-07-01 15:00:00+0200,3340,56.87
2023-07-01 16:00:00+0200,3572,60.82
2023-07-01 17:00:00+0200,3649,62.14
2023-07-01 18:00:00+0200,3629,61.79
2023-07-01 19:00:00+0200,3192,54.35
2023-07-01 20:00:00+0200,2532,43.11
2023-07-01 21:00:00+0200,2078,35.39
2023-07-01 22:00:00+0200,1863,31.73
2023-07-01 23:00:00+0200,1882,32.05
2023-07-02 00:00:00+0200,2030,34.56
2023-07-02 01:00:00+0200,2269,38.64
2023-07-02 02:00:00+0200,2215,37.71
2023-07-02 03:00:00+0200,2067,35.2
2023-07-02 04:00:00+0200,1996,33.99
2023-07-02 05:00:00+0200,2094,35.65
2023-07-02 06:00:00+0200,2274,38.72
2023-07-02 07:00:00+0200,2764,47.06
2023-07-02 08:00:00+0200,3702,63.02
2023-07-02 09:00:00+0200,4434,75.48
2023-07-02 10:00:00+0200,4775,81.28
2023-07-02 11:00:00+0200,4796,81.63
2023-07-02 12:00:00+0200,5047,85.92
2023-07-02 13:00:00+0200,5276,89.81
2023-07-02 14:00:00+0200,5327,90.68
2023-07-02 15:00:00+0200,5320,90.55
2023-07-02 16:00:00+0200,5258,89.5
2023-07-02 17:00:00+0200,5151,87.68
2023-07-02 18:00:00+0200,4818,82.01
2023-07-02 19:00:00+0200,4462,75.95
2023-07-02 20:00:00+0200,3866,65.8
2023-07-02 21:00:00+0200,3357,57.14
2023-07-02 22:00:00+0200,2948,50.17
2023-07-02 23:00:00+0200,2663,45.33
2023-07-03 00:00:00+0200,2732,46.51
2023-07-03 01:00:00+0200,2605,44.35
2023-07-03 02:00:00+0200,2631,44.79
2023-07-03 03:00:00+0200,2626,44.69
2023-07-03 04:00:00+0200,2798,47.63
2023-07-03 05:00:00+0200,2694,45.85
2023-07-03 06:00:00+0200,2427,41.31
2023-07-03 07:00:00+0200,2615,44.5
2023-07-03 08:00:00+0200,3179,54.11
2023-07-03 09:00:00+0200,3842,65.38
2023-07-03 10:00:00+0200,4294,73.07
2023-07-03 11:00:00+0200,4712,80.19
2023-07-03 12:00:00+0200,4866,82.81
2023-07-03 13:00:00+0200,5004,85.15
2023-07-03 14:00:00+0200,5346,90.96
2023-07-03 15:00:00+0200,5262,89.54
2023-07-03 16:00:00+0200,4868,82.84
2023-07-03 17:00:00+0200,5077,86.39
2023-07-03 18:00:00+0200,4992,84.94
2023-07-03 19:00:00+0200,4750,80.83
2023-07-03 20:00:00+0200,4351,74.03
2023-07-03 21:00:00+0200,4765,81.08
2023-07-03 22:00:00+0200,4763,81.04
2023-07-03 23:00:00+0200,4351,74.04
2023-07-04 00:00:00+0200,3494,59.45
2023-07-04 01:00:00+0200,2868,48.8
2023-07-04 02:00:00+0200,2347,39.94
2023-07-04 03:00:00+0200,2151,36.6
2023-07-04 04:00:00+0200,2096,35.66
2023-07-04 05:00:00+0200,1962,33.39
2023-07-04 06:00:00+0200,1873,31.88
2023-07-04 07:00:00+0200,2070,35.22
2023-07-04 08:00:00+0200,2564,43.63
2023-07-04 09:00:00+0200,3297,56.1
2023-07-04 10:00:00+0200,3963,67.42
2023-07-04 11:00:00+0200,4277,72.76
2023-07-04 12:00:00+0200,4628,78.73
2023-07-04 13:00:00+0200,4638,78.91
2023-07-04 14:00:00+0200,4418,75.16
2023-07-04 15:00:00+0200,4387,74.64
2023-07-04 16:00:00+0200,3847,65.45
2023-07-04 17:00:00+0200,3075,52.32
2023-07-04 18:00:00+0200,2017,34.32
2023-07-04 19:00:00+0200,991,16.86
2023-07-04 20:00:00+0200,266,4.53
2023-07-04 21:00:00+0200,62,1.07
2023-07-04 22:00:00+0200,293,4.99
2023-07-04 23:00:00+0200,719,12.25
2023-07-05 00:00:00+0200,1234,20.99
2023-07-05 01:00:00+0200,1741,29.62
2023-07-05 02:00:00+0200,2565,43.64
2023-07-05 03:00:00+0200,3215,54.68
2023-07-05 04:00:00+0200,3891,66.19
2023-07-05 05:00:00+0200,4667,79.38
2023-07-05 06:00:00+0200,5009,85.2
2023-07-05 07:00:00+0200,5514,93.79
2023-07-05 08:00:00+0200,5288,89.95
2023-07-05 09:00:00+0200,5085,86.49
2023-07-05 10:00:00+0200,3858,65.61
2023-07-05 11:00:00+0200,4629,78.73
2023-07-05 12:00:00+0200,4421,75.2
2023-07-05 13:00:00+0200,5598,95.2
2023-07-05 14:00:00+0200,5185,88.19
2023-07-05 15:00:00+0200,5380,91.49
2023-07-05 16:00:00+0200,5615,95.49
2023-07-05 17:00:00+0200,5370,91.32
2023-07-05 18:00:00+0200,4761,80.97
2023-07-05 19:00:00+0200,4681,79.61
2023-07-05 20:00:00+0200,3809,64.78
2023-07-05 21:00:00+0200,2508,42.66
2023-07-05 22:00:00+0200,1381,23.48
2023-07-05 23:00:00+0200,921,15.67
2023-07-06 00:00:00+0200,891,15.16
2023-07-06 01:00:00+0200,893,15.2
2023-07-06 02:00:00+0200,1005,17.1
2023-07-06 03:00:00+0200,908,15.45
2023-07-06 04:00:00+0200,708,12.04
2023-07-06 05:00:00+0200,621,10.56
2023-07-06 06:00:00+0200,612,10.41
2023-07-06 07:00:00+0200,684,11.64
2023-07-06 08:00:00+0200,963,16.38
2023-07-06 09:00:00+0200,1285,21.85
2023-07-06 10:00:00+0200,1431,24.33
2023-07-06 11:00:00+0200,1726,29.34
2023-07-06 12:00:00+0200,2056,34.96
2023-07-06 13:00:00+0200,2110,35.89
2023-07-06 14:00:00+0200,2153,36.6
2023-07-06 15:00:00+0200,2219,37.73
2023-07-06 16:00:00+0200,2128,36.19
2023-07-06 17:00:00+0200,1711,29.09
2023-07-06 18:00:00+0200,1229,20.9
2023-07-06 19:00:00+0200,706,12.02
2023-07-06 20:00:00+0200,329,5.6
2023-07-06 21:00:00+0200,107,1.82
2023-07-06 22:00:00+0200,31,0.54
2023-07-06 23:00:00+0200,14,0.25
2023-07-07 00:00:00+0200,39,0.67
2023-07-07 01:00:00+0200,89,1.52
2023-07-07 02:00:00+0200,103,1.77
2023-07-07 03:00:00+0200,117,2.01
2023-07-07 04:00:00+0200,135,2.3
2023-07-07 05:00:00+0200,94,1.61
2023-07-07 06:00:00+0200,153,2.6
2023-07-07 07:00:00+0200,276,4.7
2023-07-07 08:00:00+0200,422,7.17
2023-07-07 09:00:00+0200,559,9.51
2023-07-07 10:00:00+0200,843,14.34
2023-07-07 11:00:00+0200,1118,19.01
2023-07-07 12:00:00+0200,1230,20.92
