date,MW
2017-12-31 00:00:00+01:00,957
2018-12-31 00:00:00+01:00,957
2019-12-31 00:00:00+01:00,957
2020-12-31 00:00:00+01:00,2460
2021-12-31 00:00:00+01:00,2460
2022-12-31 00:00:00+01:00,2570
2023-12-31 00:00:00+01:00,3978
2024-12-31 00:00:00+01:00,4748
2025-12-31 00:00:00+01:00,4748
2026-12-31 00:00:00+01:00,4748
2027-12-31 00:00:00+01:00,5136
2028-12-31 00:00:00+01:00,5523
2029-12-31 00:00:00+01:00,6279
2030-12-31 00:00:00+01:00,8279
